price,currency,color,region,sku,name,size,crawl_time,description,category
130.00, ,,UNITED STATES,3Y5T585JZNZ12001200,Short-sleeve t-shirt,,,,
175.00, ,,UNITED STATES,3Y5T095J16Z12001200,Short-sleeve t-shirt,,,,
105.00, ,,UNITED STATES,3Y5T185J1KZ11001100,Tank top,,,,
115.00, ,,UNITED STATES,3Y5T485JZNZ12001200,MODAL COTTON T-SHIRT WITH LOGO AND CRYSTALS,,,,
100.00, ,,UNITED STATES,3Y5T535JPXZ11001100,T-Shirt,,,,
120.00, ,,UNITED STATES,3Y5T195J1FZ12001200,JERSEY T-SHIRT WITH LOGO,,,,
100.00, ,,UNITED STATES,3Y5T555JPXZ12001200,Short-sleeve t-shirt,,,,
100.00, ,,UNITED STATES,3Y5T405JABZ14681468,JERSEY T-SHIRT WITH LAMINATED LOGO,,,,
120.00, ,,UNITED STATES,3Y5T195J1FZ11001100,JERSEY T-SHIRT WITH LOGO,,,,
115.00, ,,UNITED STATES,3Y5T435JABZ13491349,JERSEY T-SHIRT WITH SEQUINS AND STRIPES,,,,
240.00, ,,UNITED STATES,3Y5T175J16Z11481148,JERSEY T-SHIRT WITH CHIFFON WRITING,,,,
125.00, ,,UNITED STATES,3Y5T215J1KZ11001100,LONG 100% COTTON T-SHIRT,,,,
125.00, ,,UNITED STATES,3Y5T105J17Z14801480,Short-sleeve t-shirt,,,,
100.00, ,,UNITED STATES,3Y5T405JABZ13051305,JERSEY T-SHIRT WITH LAMINATED LOGO,,,,
115.00, ,,UNITED STATES,3Y5T475JABZ11001100,Long-sleeved polo,,,,
100.00, ,,UNITED STATES,3Y5T405JABZ16431643,JERSEY T-SHIRT WITH LAMINATED LOGO,,,,
110.00, ,,UNITED STATES,3Y5T565JPXZ15341534,Short-sleeve t-shirt,,,,
100.00, ,,UNITED STATES,3Y5T415JABZ13601360,Short-sleeve t-shirt,,,,
120.00, ,,UNITED STATES,3Y5T195J1FZ14681468,JERSEY T-SHIRT WITH LOGO,,,,
